"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.667541667E-3,-4.907615460E0,-2.314271237E0,-4.085881101E0,6.792272464E0
1.468654167E-2,-3.062761034E0,-1.517158334E0,-2.147770748E0,4.036730577E0
2.470454167E-2,-1.508636017E0,-9.459303886E-1,9.392095989E-1,2.013176993E0
3.472354167E-2,1.927727598E-1,-1.110957525E0,5.812594873E0,5.920949850E0
4.474154167E-2,1.628777588E0,-5.064682782E-1,8.775908802E0,8.940134331E0
5.476054167E-2,2.094508899E0,-4.077251780E-1,8.053882334E0,8.331760198E0
6.477854167E-2,1.460913382E0,-1.011396400E0,4.860802651E0,5.175383367E0
7.479754167E-2,3.221505922E-1,-1.087956918E0,6.631029063E-1,1.314205739E0
8.481554167E-2,-1.801097372E0,3.328293622E-1,-2.171600345E0,2.840875778E0
9.483454167E-2,-2.445005624E0,3.323206544E-1,-3.191729561E0,4.034306273E0
1.048525417E-1,-1.829724755E0,2.516138756E-1,-3.920581484E0,4.333839106E0
1.148715417E-1,-9.320110917E-1,1.552085508E0,-2.590153981E0,3.160144260E0
1.248905417E-1,1.155773510E0,1.924625065E0,-1.157310670E0,2.525739898E0
1.349085417E-1,3.621692870E0,1.098936235E0,1.171348153E0,3.961865291E0
1.449275417E-1,4.662921179E0,2.774000967E-1,3.537124590E0,5.859269161E0
1.549455417E-1,4.101252846E0,-3.768893015E-1,3.332964377E0,5.298204601E0
1.649645417E-1,2.502076495E0,-8.171062875E-1,1.707999759E0,3.137724119E0
1.749825417E-1,1.709325907E0,-1.532915411E0,2.984939271E-1,2.315323593E0
1.850015417E-1,-2.375659400E-1,-2.329145384E0,-6.683859388E-1,2.434768071E0
1.950195417E-1,-2.784898130E0,-2.843851805E0,-1.256310389E0,4.173903027E0
2.050385417E-1,-3.985854537E0,-2.674091347E0,-1.800529461E0,5.126373695E0
2.150565417E-1,-3.799871564E0,-2.232832972E0,-1.391558973E0,4.621796551E0
2.250755417E-1,-2.671906242E0,-1.835238095E0,-3.177167217E-1,3.257011782E0
2.350945417E-1,-8.200749189E-1,-1.264890740E0,9.204838908E-1,1.766284816E0
2.451125417E-1,2.073432026E0,1.613749659E-1,2.979995450E0,3.633942092E0
2.551315417E-1,3.722825435E0,-1.340544355E-1,3.001928941E0,4.784242592E0
2.651495417E-1,8.264378589E-1,2.277782857E-1,1.900561434E0,2.084949939E0
2.751685417E-1,-1.071340008E0,1.853736346E0,-9.160435152E-1,2.328785859E0
2.851865417E-1,-2.115525254E0,1.455361451E0,-2.389393779E-1,2.578878842E0
2.952055417E-1,-1.751014801E0,4.293949592E-1,6.369687760E-1,1.912109329E0
3.052235417E-1,-4.242154956E-1,-2.716049212E-1,-3.762671943E-1,6.287328697E-1
