"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.308541666E-3,1.186035774E0,-9.222639002E0,-9.231025078E0,1.310250262E1
1.532754167E-2,1.189118134E0,-9.081315308E0,-1.009924773E1,1.363374836E1
2.534754167E-2,1.373715609E0,-9.042118497E0,-1.011593334E1,1.363741577E1
3.536654167E-2,1.650147407E0,-8.806315493E0,-9.573201215E0,1.311184047E1
4.538554167E-2,1.979940310E0,-8.315138853E0,-9.111788072E0,1.249345347E1
5.540454167E-2,2.313786795E0,-7.706253669E0,-9.023798586E0,1.209003291E1
6.542454167E-2,2.648366522E0,-6.832408340E0,-9.107581000E0,1.168946879E1
7.544354167E-2,2.877128309E0,-5.577441494E0,-9.006817687E0,1.097763571E1
8.546254167E-2,2.968194892E0,-4.135485370E0,-8.747712359E0,1.012101238E1
9.548154167E-2,2.929406218E0,-1.963938235E0,-7.967531823E0,8.713210518E0
1.055015417E-1,2.633494713E0,1.622653214E0,-6.178549297E0,6.909614264E0
1.155205417E-1,2.172436789E0,5.961395987E0,-1.486749889E0,6.516759083E0
1.255395417E-1,1.669620389E0,1.019081980E1,5.810367084E0,1.184908461E1
1.355585417E-1,8.357472110E-1,1.330042288E1,1.217577176E1,1.805129192E1
1.455785417E-1,-3.524071558E-1,1.210846680E1,2.026324050E1,2.360800870E1
1.555975417E-1,4.455917466E-1,7.318193262E0,3.027625583E1,3.115134301E1
1.656165417E-1,2.132186311E0,2.080433190E0,3.562996648E1,3.575428550E1
1.756355417E-1,1.480613821E0,6.465617180E-1,3.427267102E1,3.431073066E1
1.856555417E-1,-1.962670997E0,3.469638658E0,3.367469499E1,3.390981498E1
1.956745417E-1,-5.892123438E0,6.236529118E0,3.319538001E1,3.428621688E1
2.056935417E-1,-7.434251137E0,7.502964107E0,3.107177653E1,3.281795023E1
2.157125417E-1,-6.444596440E0,8.410424495E0,2.790452459E1,2.984845986E1
2.257325417E-1,-4.475269118E0,9.637189050E0,2.428935721E1,2.651181473E1
2.357515417E-1,-3.494206904E0,1.032603315E1,1.956360711E1,2.239578456E1
2.457705417E-1,-3.153382059E0,1.052341761E1,1.457362134E1,1.825038563E1
2.557895417E-1,-1.691324523E0,8.514973295E0,1.002735387E1,1.326322640E1
2.658095417E-1,-1.578470483E-2,5.236973330E0,5.958806840E0,7.933064841E0
2.758285417E-1,4.549237566E-1,3.001008589E0,2.361140764E0,3.845516075E0
2.858475417E-1,1.201559547E0,1.174035826E0,-4.811580205E-1,1.747460588E0
2.958665417E-1,1.652860223E0,-5.991179949E-1,-2.822346330E0,3.325135801E0
3.058865417E-1,1.819496367E0,-2.332808373E0,-4.685487338E0,5.541331386E0
3.159055417E-1,1.963366816E0,-3.621832326E0,-6.142862570E0,7.396434222E0
3.259245417E-1,2.002260009E0,-4.197796224E0,-7.107669525E0,8.494086435E0
3.359435417E-1,2.074391554E0,-4.139158591E0,-7.465967020E0,8.785009829E0
3.459625417E-1,1.680928027E0,-4.171863238E0,-8.384945837E0,9.515107913E0
3.559825417E-1,1.344875534E0,-4.463756243E0,-8.733962631E0,9.900298644E0
3.660015417E-1,1.357040227E0,-4.999465862E0,-8.721319197E0,1.014384669E1
3.760205417E-1,4.233030376E-1,-5.217251256E0,-9.081618193E0,1.048211263E1
3.860395417E-1,-4.262776624E-1,-5.411172409E0,-1.001762644E1,1.139365345E1
3.960595417E-1,6.119387461E-1,-6.135626641E0,-1.158169465E1,1.312082445E1
4.060842917E-1,1.298560762E0,-6.754035185E0,-1.182021076E1,1.367554876E1
4.161032917E-1,1.803480113E0,-7.573647589E0,-1.161983019E1,1.398689143E1
4.261222917E-1,9.981920712E-1,-8.290484068E0,-1.085412560E1,1.369454476E1
4.361422917E-1,4.068574512E-1,-8.371506012E0,-8.781626794E0,1.213938281E1
4.461612917E-1,5.010408926E-1,-8.067323914E0,-6.254819793E0,1.022034871E1
4.561802917E-1,1.181307497E-1,-7.288325100E0,-4.785557172E0,8.719816230E0
4.661992917E-1,-2.086471828E-1,-6.710756434E0,-5.522595196E0,8.693494307E0
4.762192917E-1,-4.701889363E-1,-6.418326069E0,-6.098599733E0,8.866166357E0
4.862382917E-1,-1.305600371E0,-6.374242741E0,-5.122936252E0,8.281306581E0
4.962572917E-1,-1.367164535E0,-6.624114146E0,-5.296085172E0,8.590491560E0
5.062762917E-1,-1.154811497E0,-6.667081826E0,-6.005649469E0,9.047176090E0
5.162962917E-1,-4.283640951E-1,-6.777665538E0,-5.600785918E0,8.802786425E0
5.263152917E-1,5.156941612E-1,-8.113211693E0,-3.234548721E0,8.749425688E0
5.363342917E-1,1.146249273E0,-9.353095061E0,-6.616317469E-1,9.446270755E0
5.463532917E-1,2.085424080E0,-8.607997234E0,-3.091212416E0,9.380949002E0
5.563732917E-1,2.172878254E0,-6.618122504E0,-5.332074784E0,8.772227020E0
5.663922917E-1,2.116521327E0,-5.000594375E0,-5.937995430E0,8.046452408E0
5.764112917E-1,2.805258135E0,-2.630340725E0,-6.603364717E0,7.641504506E0
5.864302917E-1,4.087722681E0,3.393086618E-1,-6.824251474E0,7.962098673E0
5.964502917E-1,4.498110681E0,1.849884201E0,-8.238668382E-2,4.864345673E0
6.064692917E-1,3.597230751E0,1.444028378E-2,8.754262995E0,9.464533701E0
6.164882917E-1,2.670577170E0,-6.372026646E-1,1.140187756E1,1.172777991E1
6.265072917E-1,2.908221463E0,1.529971923E0,1.250032497E1,1.292504122E1
6.365272917E-1,8.120905459E-1,4.391753629E0,1.347256958E1,1.419355918E1
6.465462917E-1,-1.459593081E0,7.385977694E0,1.344230440E1,1.540709661E1
6.565652917E-1,-2.426095582E0,9.497400250E0,1.384728021E1,1.696566299E1
6.665842917E-1,-2.946163461E0,1.086539319E1,1.223816623E1,1.662857062E1
