"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.657666666E-3,1.377256683E0,-1.674344940E0,2.030104158E0,2.970116132E0
1.367566667E-2,1.612499524E0,-9.119873017E-2,9.829964733E-1,1.890701984E0
2.369466667E-2,2.272215723E0,-1.439507018E-1,7.767966791E-1,2.405639038E0
3.371266667E-2,2.806568788E0,-1.017982265E0,3.564650504E-1,3.006689806E0
4.373166667E-2,2.803468595E0,-1.390361170E0,7.773420051E-2,3.130268830E0
5.374966667E-2,2.185779258E0,-8.585509135E-1,4.429397419E-2,2.348766185E0
6.376866667E-2,1.314424843E0,-3.629009344E-1,-2.991913538E-1,1.396039119E0
7.378666667E-2,1.626443380E0,-5.186015430E-1,-5.377099514E-2,1.707968661E0
8.380566667E-2,6.742997396E-1,3.195827875E-1,-6.178706002E-1,9.688020311E-1
9.382366667E-2,5.242555082E-1,3.857276604E-1,-1.118801638E0,1.294351873E0
1.038416667E-1,5.111238313E-1,-4.030851200E-1,-1.292117715E-1,6.636421225E-1
1.138606667E-1,-2.750348979E-1,-1.600622952E0,1.123698024E0,1.974926651E0
1.238786667E-1,-5.923492581E-1,-2.565769923E0,2.065554657E0,3.346725113E0
1.338976667E-1,-2.689727386E0,-2.106933209E0,2.621353555E0,4.306424900E0
1.439156667E-1,-4.044260620E0,-9.844278717E-1,2.052010167E0,4.640677528E0
1.539346667E-1,-3.437779811E0,-2.245151740E0,1.302992805E-1,4.108042632E0
1.639526667E-1,-2.870247306E0,-2.950727212E0,-3.171064332E0,5.196225522E0
1.739716667E-1,-3.222492932E0,-2.830494718E0,-4.757819735E0,6.405701341E0
1.839896667E-1,-3.218412745E0,-2.230601967E0,-4.001801648E0,5.598944736E0
1.940086667E-1,-3.205840647E0,-1.255882227E0,-1.544312804E0,3.773533683E0
2.040266667E-1,-3.002948695E0,-8.011075746E-1,6.383968122E-1,3.172857498E0
2.140446667E-1,-2.740808077E0,-9.722364271E-1,8.568779520E-1,3.031750717E0
2.240636667E-1,-2.375370548E0,-1.656417669E0,-5.274048185E-1,2.943511606E0
2.340816667E-1,-1.996380342E0,-1.823747147E0,-1.507181815E0,3.095672002E0
2.441006667E-1,-1.380649238E0,-8.855894619E-1,-1.150149658E0,2.003323550E0
2.541186667E-1,-7.573056436E-1,8.595035711E-1,4.717803291E-1,1.238884541E0
2.641376667E-1,-2.864632809E-1,7.459379985E-1,8.522549971E-1,1.168256517E0
2.741556667E-1,6.846656835E-1,-8.090939210E-1,7.835923132E-1,1.318111143E0
2.841736667E-1,1.979294778E0,-8.168014283E-1,5.621849343E-2,2.141946056E0
2.941926667E-1,2.994621676E0,7.794439329E-1,-7.324174087E-1,3.179894194E0
3.042106667E-1,3.844951258E0,1.919477615E0,-1.428991824E0,4.528803608E0
3.142296667E-1,3.351693009E0,2.703687029E0,-1.417579228E0,4.533574798E0
3.242476667E-1,1.573460004E0,5.026429127E0,-1.498888417E-1,5.269082731E0
3.342666667E-1,8.728904790E-1,4.550187446E0,1.637742101E0,4.914096333E0
3.442846667E-1,1.488306418E0,3.160526772E-1,-1.696597542E0,2.278900724E0
3.543036667E-1,4.640326953E-1,4.933152589E-1,-2.317452707E0,2.414388812E0
3.643216667E-1,-1.726864046E-1,4.329996215E-1,-1.080410940E0,1.176689027E0
3.743406667E-1,-5.539780748E-1,-3.783680624E-1,5.624120986E-1,8.754207369E-1
3.843586667E-1,-5.472081685E-1,-9.025569123E-1,1.555555830E0,1.879840339E0
3.943766667E-1,-8.056855059E-1,-8.843605234E-1,2.715668851E0,2.967503998E0
4.043956667E-1,-1.512745441E0,-1.080913800E0,3.170578136E0,3.675505288E0
4.144136667E-1,-1.873489995E0,-2.028379960E0,1.854893803E0,3.326397608E0
4.244326667E-1,-2.700259976E0,-1.960996939E0,1.109151028E0,3.516692898E0
4.344506667E-1,-2.907248486E0,-1.623832744E0,1.185177111E0,3.534624637E0
4.444696667E-1,-2.417119083E0,-1.385159341E0,1.610486620E0,3.217887229E0
4.544876667E-1,-1.491367435E0,-1.499073481E0,1.884532462E0,2.832465486E0
4.645066667E-1,-3.649995732E-1,-1.623925715E0,1.434552087E0,2.197339097E0
4.745246667E-1,1.298374236E-1,-1.019574169E0,7.648245782E-1,1.281150217E0
4.845426667E-1,-1.772934258E-1,-6.969588697E-2,-1.459434621E0,1.471815168E0
4.945616667E-1,-4.521979308E-1,1.584310390E-1,-3.282908411E0,3.317690612E0
5.045796667E-1,-8.030495811E-1,1.853535202E-1,-2.547082222E0,2.677101492E0
5.145986667E-1,-9.048607153E-1,2.624785870E-2,-1.737317698E0,1.959013693E0
5.246166667E-1,-8.360407412E-1,-8.285340858E-1,-1.451777108E0,1.868980905E0
5.346356667E-1,-1.321917465E0,-1.610076146E0,-1.377626227E0,2.497531782E0
5.446536667E-1,-1.766869526E0,-2.281884679E0,-1.353032984E0,3.187400801E0
5.546726667E-1,-2.172581508E0,-3.105750348E0,-1.392336652E0,4.037870353E0
5.646906667E-1,-2.615555456E0,-3.786140547E0,-9.071194947E-1,4.690293846E0
5.747086667E-1,-3.072013668E0,-4.000791249E0,-4.326647222E-1,5.062686773E0
5.847276667E-1,-3.475981425E0,-3.929268107E0,-2.073539615E-1,5.250199081E0
5.947456667E-1,-4.199326440E0,-3.670641374E0,2.132713437E-2,5.577490967E0
6.047646667E-1,-5.074107909E0,-3.461097922E0,-8.101331905E-2,6.142664980E0
6.147826667E-1,-4.531869873E0,-3.338508707E0,2.157451910E-1,5.632941587E0
6.248016667E-1,-2.549314688E0,-3.210321953E0,6.150990200E-1,4.145300861E0
6.348196667E-1,-1.149266143E0,-2.534700158E0,1.247183032E0,3.049751313E0
6.448386667E-1,-7.683323228E-1,-2.166409187E0,2.114426855E0,3.123213769E0
6.548566667E-1,-3.134569520E-1,-2.972080075E0,3.971005533E0,4.969949715E0
6.648756667E-1,2.407304531E-1,-4.685941082E0,2.058839422E0,5.123945232E0
6.748936667E-1,2.784665703E0,-6.201014884E0,6.824633297E-1,6.831742447E0
6.849116667E-1,4.871231745E0,-5.842850121E0,-1.118152524E0,7.688827044E0
6.949306667E-1,5.613825209E0,-4.076985732E0,-3.655496208E0,7.842161607E0
7.049486667E-1,5.888431506E0,-2.208983787E0,-4.210395804E0,7.568399289E0
7.149676667E-1,5.645529982E0,1.100874441E0,-6.259336182E0,8.500777774E0
7.249856667E-1,4.793383670E0,5.088123685E0,-8.575017183E0,1.106329288E1
7.350046667E-1,4.078933439E0,7.521769338E0,-9.483203795E0,1.277285662E1
7.450226667E-1,3.498340008E0,8.333609038E0,-8.817218796E0,1.262658979E1
7.550416667E-1,2.774154748E0,7.900461336E0,-6.567325988E0,1.064156918E1
7.650596667E-1,1.742570252E0,7.068548729E0,-4.660076509E0,8.643913771E0
7.750786667E-1,-1.774852145E-1,6.632742298E0,-3.655136604E0,7.575275242E0
7.850966667E-1,-2.554456145E0,6.324679402E0,-2.768042654E0,7.361309386E0
7.951146667E-1,-4.652371632E0,5.925713353E0,-1.768420208E0,7.738601332E0
8.051336667E-1,-5.834030181E0,5.259607902E0,-5.457910958E-1,7.873834603E0
8.151516667E-1,-5.521162044E0,3.845179299E0,1.091355027E0,6.816134532E0
8.251706667E-1,-4.187787545E0,2.426645951E0,2.746549751E0,5.565043632E0
8.351886667E-1,-2.628890031E0,1.683130673E0,3.882570197E0,4.981801179E0
8.452076667E-1,-1.160201606E0,1.230741246E0,4.012300909E0,4.354233614E0
8.552256667E-1,9.237314343E-2,7.528587630E-1,3.288945953E0,3.375276966E0
8.652446667E-1,1.204080282E0,2.869806133E-1,2.326872279E0,2.635621711E0
8.752626667E-1,1.995245982E0,1.159871969E-1,7.865735891E-1,2.147826243E0
8.852806667E-1,2.727224995E0,-2.740758084E-2,-7.195919797E-1,2.820694944E0
8.952996667E-1,2.799815839E0,3.864647019E-1,-1.356205537E0,3.134903054E0
9.053176667E-1,2.086523357E0,1.174983294E0,-2.216899894E0,3.263251538E0
9.153366667E-1,1.508932471E0,1.342651691E0,-3.046739078E0,3.655435648E0
9.253546667E-1,1.881839234E0,1.809870973E0,-1.891276056E0,3.223953623E0
9.353736667E-1,1.947961303E0,1.739929211E0,-2.840702494E0,3.858950318E0
9.453916667E-1,2.165241498E0,6.936961234E-1,-3.243430642E0,3.960975560E0
9.554106667E-1,1.891913402E0,-2.400536379E-1,-3.233857580E0,3.754303786E0
9.654286667E-1,1.389621205E0,-8.571819341E-1,-2.990733862E0,3.407388589E0
9.754476667E-1,6.684051615E-1,-1.260023225E0,-2.536874152E0,2.910352977E0
9.854656667E-1,7.066009283E-2,-1.411361738E0,-2.270879050E0,2.674663804E0
9.954836667E-1,-3.271628255E-1,-1.226470440E0,-2.188884714E0,2.530312539E0
1.005503333E0,-6.807948267E-1,-8.312401772E-1,-2.025068536E0,2.292453795E0
1.015521333E0,-8.946111310E-1,-4.258723041E-1,-1.890130001E0,2.134077720E0
1.025540333E0,-9.974864584E-1,-5.539008915E-2,-1.741791987E0,2.007955832E0
