"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
-1.291166664E-3;6.030812377E-1;-1.619664995E0;5.982982153E-1;1.828929312E0
8.726833334E-3;7.483716828E-1;-1.230908038E0;1.064846967E0;1.791394384E0
1.874483333E-2;7.085702705E-1;-6.421336216E-1;1.233889387E0;1.561054271E0
2.876283334E-2;6.752388024E-1;-3.382658109E-1;1.306518238E0;1.509092808E0
3.878083334E-2;6.045863110E-1;-1.231701359E-1;1.187962432E0;1.338637453E0
4.879983333E-2;5.151233268E-1;2.477602682E-1;1.046906540E0;1.192791053E0
5.881783333E-2;4.703242993E-1;6.831743512E-1;1.036344130E0;1.327381368E0
6.883583334E-2;5.133902121E-1;1.004708939E0;1.101941119E0;1.577112485E0
7.885383334E-2;5.602509677E-1;1.199685222E0;1.100508551E0;1.721698246E0
8.887183333E-2;5.553036386E-1;1.323024196E0;1.018417152E0;1.759525121E0
9.888983333E-2;5.074915409E-1;1.405242480E0;8.375083923E-1;1.712797244E0
1.089078333E-1;4.349287641E-1;1.511734749E0;5.033721775E-1;1.651632081E0
1.189258333E-1;3.364891344E-1;1.655419403E0;1.583086860E-1;1.696673209E0
1.289438333E-1;3.111958337E-1;1.716132359E0;-9.550958991E-2;1.746732722E0
1.389618333E-1;2.715522963E-1;1.712278459E0;-2.696887887E-1;1.754528487E0
1.489808333E-1;1.725571811E-1;1.659951141E0;-4.473166752E-1;1.727803802E0
1.589988333E-1;6.039647520E-2;1.535857730E0;-5.608777893E-1;1.636181712E0
1.690168333E-1;-7.808371782E-3;1.403240832E0;-5.589663345E-1;1.510493021E0
1.790348333E-1;2.473839998E-2;1.245215152E0;-4.867900586E-1;1.337212520E0
1.890528333E-1;5.796754181E-2;9.938565069E-1;-3.455283451E-1;1.053803032E0
1.990708333E-1;1.310735250E-1;7.258490852E-1;-1.265068495E-1;7.483589689E-1
2.090888333E-1;2.632428181E-1;4.984996927E-1;-3.811799884E-3;5.637492836E-1
2.191068333E-1;2.403743577E-1;5.006356806E-1;-1.675402701E-2;5.556047281E-1
2.291248333E-1;2.007454383E-1;7.768207258E-1;3.466112494E-2;8.030881425E-1
2.391428333E-1;1.468142295E-1;1.098252403E0;9.915766776E-2;1.112450000E0
2.491608333E-1;3.324609876E-2;1.220223860E0;8.646219313E-2;1.223734972E0
2.591798333E-1;-5.529477954E-2;1.205210256E0;3.167729080E-2;1.206893833E0
2.691978333E-1;-1.271634918E-1;1.252126561E0;-8.823448420E-3;1.258598161E0
2.792158333E-1;-1.855163652E-1;1.315126801E0;1.246450961E-2;1.328205627E0
2.892338333E-1;-2.009997922E-1;1.351602902E0;1.303110480E-1;1.372666124E0
2.992518333E-1;-1.687091285E-1;1.330532460E0;3.102789903E-1;1.376609040E0
3.092698333E-1;-1.247731501E-1;1.275882628E0;3.937971103E-1;1.341089477E0
3.192878333E-1;-1.004042941E-1;1.225616747E0;4.218403566E-1;1.300064121E0
3.293058333E-1;-1.103925079E-1;1.183842484E0;4.200838530E-1;1.261007524E0
3.393238333E-1;-1.060433489E-1;1.176226485E0;3.790861005E-1;1.240346810E0
3.493428333E-1;-9.398463607E-2;1.154470458E0;2.659465706E-1;1.188428680E0
3.593608333E-1;-8.675923169E-2;1.131222221E0;1.098083711E-1;1.139845935E0
3.693788333E-1;-1.536490399E-1;1.159979704E0;-2.455830574E-5;1.170111509E0
3.793968333E-1;-3.337929833E-1;1.134757155E0;-4.992528141E-2;1.183885168E0
3.894148333E-1;-6.320752412E-1;1.036018440E0;-6.118584931E-2;1.215153088E0
3.994328333E-1;-1.031738863E0;9.372955129E-1;-7.541855693E-2;1.395956990E0
4.094508333E-1;-1.457315590E0;8.397431982E-1;-1.114631331E-1;1.685633827E0
4.194688333E-1;-1.863809929E0;6.808901364E-1;-2.219088507E-1;1.996657800E0
4.294868333E-1;-2.261491345E0;5.199101499E-1;-4.077257627E-1;2.356032675E0
4.395048333E-1;-2.595068566E0;2.830549389E-1;-6.882313156E-1;2.699659850E0
4.495238333E-1;-2.884222151E0;5.765822411E-2;-9.590147030E-1;3.040028139E0
4.595418333E-1;-3.022748537E0;-2.419811726E-1;-1.012650627E0;3.197033766E0
4.695598333E-1;-2.736439623E0;-5.713820198E-1;-7.718991244E-1;2.900070254E0
4.795778333E-1;-2.072666041E0;-7.407758573E-1;-6.704873550E-1;2.300923006E0
4.895958333E-1;-1.331016902E0;-8.980855465E-1;-4.551039970E-1;1.668916801E0
4.996138333E-1;-4.589836246E-1;-1.350117124E0;1.274549755E-1;1.431686763E0
5.096318333E-1;3.848368371E-1;-1.883463591E0;6.775355887E-1;2.038280884E0
5.196498333E-1;1.196681800E0;-2.277789874E0;1.147624245E0;2.817341912E0
5.296678333E-1;1.872464393E0;-2.497373872E0;1.317712147E0;3.388121082E0
5.396858333E-1;2.204912517E0;-2.398286955E0;1.459592496E0;3.569850107E0
5.497048333E-1;2.219796605E0;-2.045133256E0;1.552449497E0;3.394137069E0
5.597228333E-1;2.033110796E0;-1.470488198E0;1.527952294E0;2.937773521E0
5.697408333E-1;1.841638457E0;-8.306303126E-1;1.609815360E0;2.583231390E0
5.797588333E-1;1.632053198E0;-1.712631923E-1;1.333409582E0;2.114452609E0
5.897768333E-1;1.381747345E0;4.025334352E-1;8.487829936E-1;1.670835558E0
5.997948333E-1;1.212317255E0;8.023718888E-1;5.053350878E-1;1.539115761E0
6.098128333E-1;1.028010094E0;1.096786798E0;1.308332044E-1;1.508927885E0
6.198308333E-1;8.366535294E-1;1.272721916E0;-1.762391728E-1;1.533254855E0
6.298488333E-1;6.601430458E-1;1.326819770E0;-4.779443908E-1;1.557135313E0
6.398668333E-1;5.620577574E-1;1.243248441E0;-7.389605892E-1;1.551656650E0
6.498858333E-1;5.194578677E-1;1.078194991E0;-7.264194810E-1;1.400009349E0
6.599038333E-1;4.264251584E-1;8.815852886E-1;-7.286159876E-1;1.220619635E0
6.699218333E-1;6.353549445E-1;5.018197417E-1;-3.130897468E-1;8.680576871E-1
6.799398333E-1;8.921664101E-1;1.200059152E-1;1.738117012E-1;9.168275904E-1
6.899578333E-1;9.502263379E-1;-9.421443164E-2;3.059801173E-1;1.002711466E0
6.999758333E-1;1.039176521E0;-2.231309187E-1;3.905858195E-1;1.132357069E0
7.099938333E-1;1.150528557E0;-3.187767488E-1;5.212816143E-1;1.302716047E0
7.200118333E-1;1.224621550E0;-3.961757576E-1;5.096202198E-1;1.384328697E0
7.300298333E-1;1.221083400E0;-4.204931581E-1;5.135779077E-1;1.389827843E0
7.400478333E-1;1.086840684E0;-3.805660307E-1;5.113302380E-1;1.259964995E0
7.500665000E-1;9.507794845E-1;-3.174792516E-1;5.466877663E-1;1.141771526E0
7.600845000E-1;8.042734033E-1;-1.922517729E-1;6.208710989E-1;1.034068360E0
7.701025000E-1;6.157077152E-1;-4.023644507E-2;7.333114479E-1;9.583635227E-1
7.801205000E-1;4.028889459E-1;6.484094381E-2;8.117157394E-1;9.085187352E-1
7.901385000E-1;1.296918279E-1;1.339807606E-1;8.273453468E-1;8.480985422E-1
8.001565000E-1;-1.389602494E-1;2.035760754E-1;8.816007838E-1;9.154087127E-1
