"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.922166667E-3,-1.406650051E0,3.562646517E0,6.693959722E-1,3.888342261E0
1.394116667E-2,-1.754290996E0,2.800026923E0,5.166805573E0,6.132990094E0
2.396116667E-2,-7.545159370E-1,4.774871385E-1,4.405963533E0,4.495531439E0
3.398016667E-2,9.633287787E-3,-1.558156672E0,3.954234841E0,4.250166843E0
4.399916667E-2,1.158201858E0,-1.845175438E0,1.686965862E0,2.755350751E0
5.401816667E-2,2.422647040E0,-2.230299373E0,-2.093271044E-1,3.299586613E0
6.403716667E-2,2.298767930E0,-2.159864398E0,-1.613305271E0,3.542894595E0
7.405716666E-2,1.203811310E0,-1.320760885E0,-1.842302116E0,2.566641400E0
8.407616667E-2,3.617034978E-1,-1.628056042E0,-1.387540474E0,2.169484838E0
9.409516667E-2,-3.662485385E-1,-1.193948227E0,9.768642059E-1,1.585532730E0
1.041141667E-1,-8.701738626E-1,-3.216144025E-1,1.131450262E0,1.463153468E0
1.141331667E-1,-6.970857543E-1,8.861624891E-1,3.958729596E0,4.116157494E0
1.241521667E-1,-5.595750296E-1,2.873432284E0,2.328674976E0,3.740650271E0
1.341721667E-1,-4.863351452E-1,3.192884386E0,-3.607615113E-1,3.249797139E0
1.441911667E-1,-3.875856131E-1,2.226036168E0,-1.141666810E0,2.531573174E0
1.542101667E-1,-3.600697857E-1,1.389823519E0,-1.150213392E0,1.839633255E0
1.642291667E-1,-3.463165498E-1,6.945726210E-1,-8.709918880E-1,1.166616110E0
1.742481667E-1,1.511797607E-2,-4.917368031E-1,-1.042662047E0,1.152899727E0
1.842681667E-1,2.168206036E-2,2.489569008E-2,-1.257642531E-1,1.300252071E-1
1.942871667E-1,2.571125972E-1,2.551040787E-1,-1.133687407E-2,3.623720510E-1
2.043061667E-1,2.437002540E-1,4.021381634E-1,4.594859004E-2,4.724576057E-1
2.143251667E-1,-1.322435528E-1,5.602117914E-1,2.932574531E-1,6.460073856E-1
2.243441667E-1,-6.602781165E-1,6.950099927E-1,4.629682097E-1,1.064587077E0
2.343631667E-1,-1.192442569E0,7.920597392E-1,4.796845222E-1,1.509759965E0
2.443831667E-1,-1.425423707E0,9.088298053E-1,3.457610643E-1,1.725501397E0
2.544021667E-1,-1.440329429E0,9.651396614E-1,1.377697563E-1,1.739259594E0
2.644211667E-1,-1.346816078E0,9.594257623E-1,-1.931364566E-2,1.653718343E0
2.744401667E-1,-1.115877957E0,9.154862756E-1,-1.213823497E-1,1.448458633E0
2.844591667E-1,-8.388444811E-1,8.584496105E-1,-6.973857164E-2,1.202272542E0
2.944791667E-1,-4.905989349E-1,7.583335841E-1,1.932946238E-1,9.236449270E-1
3.044981667E-1,7.746683657E-2,6.338457781E-1,3.187001503E-1,7.136745526E-1
3.145171667E-1,4.933699304E-1,3.698650414E-1,3.897599003E-1,7.294702303E-1
3.245361667E-1,6.378435194E-1,4.303550720E-2,6.997897992E-1,9.478407953E-1
3.345551667E-1,5.714945787E-1,-1.828810251E-1,1.003197434E0,1.168955352E0
3.445741667E-1,2.623166192E-1,-2.904610223E-1,1.223846794E0,1.284904117E0
3.545941667E-1,3.047101021E-2,-2.806663513E-1,1.154301181E0,1.188323735E0
3.646131667E-1,-1.921435994E-1,-1.679209238E-1,8.378226802E-1,8.758215816E-1
3.746321667E-1,-4.778052270E-1,-2.274157584E-2,4.673501131E-1,6.687534243E-1
3.846511667E-1,-8.054744214E-1,2.054851913E-1,3.081567433E-1,8.865516262E-1
3.946701667E-1,-1.080322208E0,4.665674633E-1,2.623859087E-1,1.205664811E0
4.046891667E-1,-1.581391752E0,6.540408915E-1,3.032564843E-1,1.737968313E0
4.147091667E-1,-2.270218899E0,7.317451251E-1,1.989804563E-1,2.393520002E0
4.247281667E-1,-2.631571564E0,9.274841774E-1,-1.689924261E-1,2.795345101E0
4.347474583E-1,-2.207946053E0,9.436686856E-1,-1.667830557E-1,2.406938501E0
4.447664583E-1,-1.362961995E0,8.379481030E-1,3.650703245E-1,1.641066350E0
