"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.953150001E-2,-3.294233590E-2,6.996164292E-2,-2.869497693E-1,2.971868083E-1
3.959650005E-2,5.005114272E-2,1.063509125E-1,-1.149042195E-1,1.643733954E-1
4.966150003E-2,7.947506279E-2,1.359236442E-1,7.019991696E-2,1.723935932E-1
5.972550000E-2,9.491551280E-2,1.368907736E-1,1.543992376E-1,2.271280763E-1
6.979050004E-2,1.014334772E-1,9.074045464E-2,8.810584545E-2,1.621271736E-1
7.985550002E-2,1.636444896E-1,4.385616392E-2,-5.254892707E-3,1.695007256E-1
8.992050000E-2,2.833654261E-1,3.667052060E-2,-8.504775167E-2,2.981171109E-1
9.998450003E-2,3.794185147E-1,6.454536706E-2,-1.308881682E-1,4.065171906E-1
1.100495000E-1,4.221813224E-1,8.097823575E-2,-2.040257263E-1,4.758371997E-1
1.201145000E-1,4.086646063E-1,6.829811007E-2,-2.874216396E-1,5.042644060E-1
1.301785000E-1,3.272176431E-1,6.323661402E-2,-3.916324711E-1,5.142433740E-1
1.402435000E-1,2.761821947E-1,3.062932357E-2,-4.269601786E-1,5.094209990E-1
1.503085000E-1,2.332229206E-1,2.385678604E-2,-3.566936034E-1,4.268400211E-1
1.603725000E-1,2.085457702E-1,1.632776499E-2,-3.879288447E-1,4.407342995E-1
1.704375000E-1,1.959385154E-1,-3.860258684E-2,-5.429695219E-1,5.785308663E-1
1.805025000E-1,2.041790695E-1,-1.028943309E-1,-7.089696354E-1,7.449256873E-1
1.905665000E-1,2.618014064E-1,-3.901656970E-2,-7.645205230E-1,8.090450538E-1
2.006315000E-1,4.001552264E-1,5.824382275E-2,-7.137643522E-1,8.203512044E-1
2.106965000E-1,4.263078486E-1,9.800722808E-2,-5.924451524E-1,7.364340141E-1
2.207605000E-1,3.348178540E-1,6.221393600E-2,-4.741173881E-1,5.837472629E-1
2.308255000E-1,2.770186389E-1,-1.416414902E-2,-4.365560442E-1,5.172244476E-1
2.408905000E-1,4.138393921E-1,9.206718788E-2,-5.150397116E-1,6.670871863E-1
2.509545001E-1,6.472411644E-1,1.967988601E-1,-5.020097762E-1,8.424160087E-1
