"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.551374991E-3,3.918306917E-1,3.272926337E-1,3.844193459E-1,6.390852779E-1
1.761337501E-2,3.561726165E-1,4.627021614E-1,1.133833587E-1,5.948176266E-1
2.767437499E-2,2.332528876E-1,6.719354180E-1,-3.442875659E-1,7.902139226E-1
3.773637500E-2,2.257200658E-1,5.197005272E-1,-2.915158600E-1,6.371967378E-1
4.779837499E-2,3.407498543E-1,3.207113001E-1,-4.120182037E-1,6.234783087E-1
5.786037500E-2,4.155486064E-1,2.109002978E-1,-5.216511583E-1,6.994851756E-1
6.792237499E-2,2.419022352E-1,2.398650652E-1,-3.811484134E-1,5.112006005E-1
7.798437501E-2,2.310381085E-2,1.152304941E-1,-1.495203209E-1,1.901793344E-1
8.804637499E-2,-8.885721266E-3,2.081804654E-1,-5.399517739E-1,5.787624559E-1
9.811166665E-2,9.241948262E-2,2.352457649E-1,-7.833111352E-1,8.230785291E-1
1.081736667E-1,3.230364454E-1,8.567252666E-2,-6.536625767E-1,7.341437809E-1
1.182356667E-1,3.633383793E-1,-4.753201604E-2,-2.760926592E-1,4.588041269E-1
1.282976667E-1,2.463124976E-1,4.316297650E-2,-4.277822971E-2,2.536983759E-1
1.383596667E-1,1.834046432E-1,2.272502822E-1,1.185675001E-1,3.151796408E-1
1.484216667E-1,2.763803422E-1,3.108704361E-1,1.338614774E-1,4.369730161E-1
1.584836667E-1,1.674342893E-1,2.315055934E-1,3.432888615E-1,4.466277235E-1
1.685456667E-1,-8.530093610E-2,1.746621788E-1,3.694341016E-1,4.174502148E-1
1.786076667E-1,-9.937196821E-2,1.581122196E-1,4.429587454E-1,4.807147929E-1
1.886696666E-1,-1.038386562E-1,1.020356673E-1,2.149641126E-1,2.596214815E-1
1.987316667E-1,-3.918847784E-2,1.436868462E-1,-1.443203920E-1,2.073885776E-1
2.087936667E-1,5.918551683E-2,2.586100692E-1,-6.303035349E-1,6.838601022E-1
2.188546667E-1,1.553872709E-1,1.374797344E-1,-7.941273147E-1,8.207825981E-1
2.289186667E-1,2.911270201E-2,1.203675655E-1,-6.930067366E-1,7.039845433E-1
