"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.843500067E-3,-7.469201115E-1,7.364755225E-1,-2.322404714E0,2.548303260E0
1.176650007E-2,-5.059461218E-1,7.324485451E-1,-2.575625405E0,2.725125424E0
2.168950008E-2,-2.148416135E-1,8.512294686E-1,-2.684077806E0,2.824008180E0
3.161350009E-2,-2.385798472E-1,1.103925664E0,-2.459276338E0,2.706217346E0
4.153650010E-2,-4.306456786E-1,1.427978940E0,-1.983039334E0,2.481335236E0
5.145950010E-2,-3.899215758E-1,1.510717626E0,-1.555021979E0,2.202816365E0
6.138249999E-2,-4.670486891E-1,1.707803585E0,-1.241803594E0,2.162591900E0
7.130549999E-2,-9.455678612E-1,2.169718126E0,-8.937913513E-1,2.529948281E0
8.122950001E-2,-1.588221593E0,2.653419978E0,-4.191903985E-1,3.120706009E0
9.115250001E-2,-2.119030952E0,2.788638886E0,9.358468652E-3,3.502411540E0
1.010755000E-1,-2.451430544E0,2.792998863E0,9.647028744E-1,3.839401776E0
1.109985000E-1,-2.674979247E0,2.930004680E0,2.284358636E0,4.578071185E0
1.209215000E-1,-2.732978363E0,3.140085198E0,3.405706079E0,5.378488606E0
1.308455000E-1,-1.881752257E0,2.906318487E0,4.176701809E0,5.425174347E0
1.407685000E-1,-6.424332914E-1,2.354419974E0,4.338984262E0,4.978232455E0
1.506915001E-1,2.814090939E-1,1.909810267E0,5.020680145E0,5.379014357E0
1.606145001E-1,6.649839556E-1,1.496335815E0,6.018774129E0,6.237536898E0
1.705375001E-1,8.538441972E-1,1.752264351E-2,6.429552723E0,6.486023834E0
1.804615001E-1,1.494808668E0,-6.910710159E-1,6.389760666E0,6.598566017E0
1.903845001E-1,2.158807075E0,-1.170909027E0,5.770702497E0,6.271561468E0
2.003075001E-1,2.884087373E0,-1.320380524E0,5.256980163E0,6.139804975E0
2.102305001E-1,2.511563602E0,-1.335205262E0,5.065945780E0,5.809865013E0
2.201545001E-1,5.777796046E-1,-7.335884598E-1,4.785661837E0,4.875914326E0
2.300775000E-1,-3.033888506E-1,-9.559384829E-1,3.060404021E0,3.220549014E0
2.400005000E-1,3.919793572E-1,-1.112269641E0,1.454702470E0,1.872685463E0
2.499235000E-1,1.670733992E0,-1.132418561E0,2.814422768E-1,2.037874781E0
2.598465000E-1,1.540221361E0,-2.347595981E0,-5.803227049E-1,2.867100133E0
2.697705000E-1,1.266223320E0,-2.616743902E0,-7.095964569E-1,2.992356476E0
2.796935000E-1,1.012551663E0,-2.324775175E0,-8.541443056E-1,2.675706072E0
2.896165000E-1,-1.368102511E-2,-2.310725193E0,-1.581292350E0,2.800022069E0
2.995395000E-1,-9.728107698E-1,-2.524862802E0,-2.573361363E0,3.734097169E0
3.094625000E-1,-3.991961369E-1,-2.169707893E0,-3.324285355E0,3.989719667E0
3.193865001E-1,-2.116461832E-2,-2.193590261E0,-4.164581700E0,4.707018898E0
3.293095001E-1,2.021227865E-1,-2.426468196E0,-5.016357298E0,5.576059726E0
3.392325001E-1,1.638632851E-1,-2.549591262E0,-5.950024322E0,6.475342169E0
3.491555001E-1,-3.552048657E-1,-2.594394090E0,-7.045049354E0,7.515967775E0
3.590785001E-1,-1.394824058E-1,-2.835210205E0,-7.959315315E0,8.450359314E0
3.690025001E-1,3.277877466E-1,-2.908146034E0,-8.538829350E0,9.026425917E0
3.789255001E-1,-1.783533433E-1,-2.316743148E0,-9.198706348E0,9.487639707E0
3.888485001E-1,-3.245043889E-1,-2.216424515E0,-9.646944544E0,9.903604383E0
3.987715001E-1,-1.391374566E-1,-2.589497339E0,-9.791949645E0,1.012951793E1
4.086945000E-1,-3.025283597E-1,-2.879932926E0,-9.588608043E0,1.001633372E1
4.186185000E-1,-6.403961214E-1,-2.884432358E0,-8.839659240E0,9.320388013E0
4.285415000E-1,-5.927261477E-1,-2.749491485E0,-7.950564373E0,8.433415770E0
4.384645000E-1,-1.504461544E-1,-2.591066439E0,-7.604560649E0,8.035272366E0
4.483875000E-1,1.640862467E-1,-2.673756886E0,-7.620979046E0,8.078070425E0
4.583105000E-1,2.107214643E-1,-2.919189378E0,-7.381022179E0,7.940123335E0
4.682345000E-1,1.955718219E-1,-2.968495731E0,-6.604146490E0,7.243270401E0
4.781575000E-1,7.791829644E-2,-3.025152912E0,-5.638247275E0,6.399019748E0
4.880805000E-1,6.954429790E-2,-3.146155193E0,-4.670800887E0,5.632007620E0
4.980035000E-1,1.512032409E-1,-3.166252658E0,-3.527268523E0,4.742324488E0
5.079265001E-1,1.686103836E-1,-3.107278810E0,-2.318698749E0,3.880718355E0
5.178505001E-1,1.079920340E-1,-2.927512012E0,-1.042645674E0,3.109517465E0
5.277735001E-1,-1.972874681E-1,-2.607945889E0,2.799722868E-1,2.630340014E0
5.376965001E-1,-4.752496649E-1,-2.325723740E0,1.559209755E0,2.840068348E0
5.476194167E-1,-5.049890788E-1,-1.893181371E0,2.707385978E0,3.342018627E0
5.575434167E-1,-5.681500079E-1,-1.411873369E0,4.191903985E0,4.459623287E0
5.674664167E-1,-7.129999749E-1,-1.166951924E0,6.403389941E0,6.547789589E0
5.773894168E-1,-8.275499263E-1,-7.320404094E-1,8.462878112E0,8.534695541E0
5.873124168E-1,-8.671121143E-1,-1.531521727E-1,9.880484676E0,9.919642960E0
5.972354168E-1,-4.651789688E-1,2.886090629E-1,1.077041920E1,1.078432272E1
6.071594167E-1,-3.153979352E-1,7.039851764E-1,1.129435078E1,1.132066387E1
6.170824167E-1,-3.550149409E-1,9.581661259E-1,1.174954248E1,1.179389107E1
6.270054167E-1,-3.726538709E-1,9.685243222E-1,1.222623089E1,1.227019283E1
6.369284167E-1,-2.722593526E-1,1.077089868E0,1.300149216E1,1.304887145E1
6.468514167E-1,-1.609625362E-1,1.487758242E0,1.387379149E1,1.395426185E1
6.567754167E-1,-7.265114285E-2,1.806061512E0,1.406558718E1,1.418125097E1
6.666984167E-1,1.663406773E-1,1.858065186E0,1.357811417E1,1.370566524E1
6.766214167E-1,3.509733820E-1,1.734080095E0,1.258107736E1,1.270487007E1
6.865444167E-1,3.929074930E-1,1.398047774E0,1.156166677E1,1.165251270E1
6.964674167E-1,4.611067486E-1,9.600746571E-1,1.069103273E1,1.074395381E1
7.063914167E-1,6.955986612E-1,5.111767486E-1,9.705437751E0,9.743750874E0
7.163144167E-1,1.066755791E0,-1.647894475E-1,8.863277314E0,8.928762973E0
7.262374167E-1,1.274528267E0,-8.812003957E-1,8.009728839E0,8.158228516E0
7.361604167E-1,1.230859652E0,-1.539790275E0,7.532116570E0,7.785804365E0
