"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.708499997E-3,-4.343212384E-1,2.723843551E-1,-2.169164979E-1,5.566695089E-1
1.463150000E-2,-4.385335726E-1,2.003367180E-1,7.139684200E-2,4.873848622E-1
2.455450001E-2,-2.711225259E-1,9.480500042E-2,1.514879090E-1,3.247214171E-1
3.447750001E-2,-2.685930204E-1,-3.995519400E-2,2.672645330E-2,2.728606448E-1
4.440050002E-2,-5.054999793E-1,-7.861581445E-3,-1.251005942E-1,5.208091706E-1
5.432350002E-2,-7.177524456E-1,9.055173576E-2,-3.457183796E-1,8.018038339E-1
6.424650003E-2,-7.185377267E-1,1.050042987E-1,-6.474300295E-1,9.728761538E-1
7.416950003E-2,-6.028204519E-1,1.241410661E-1,-7.020693362E-1,9.336513558E-1
8.409250004E-2,-1.552888915E-1,1.989988750E-1,-3.462726957E-1,4.285090102E-1
9.401549993E-2,2.852105150E-1,2.340932786E-1,1.716485238E-1,4.069495260E-1
1.039384999E-1,5.098351049E-1,8.246854484E-2,7.441435611E-1,9.058049098E-1
1.138614999E-1,6.211909416E-1,-2.061792558E-1,7.890595329E-1,1.025184382E0
1.237844999E-1,4.913690132E-1,-3.665350521E-1,4.235997838E-1,7.451363824E-1
1.337074999E-1,1.636194196E-1,-4.502157247E-1,-3.641792089E-1,6.017408158E-1
1.436305000E-1,-1.211508000E-1,-2.259311503E-1,-1.131613984E0,1.160289882E0
1.535535000E-1,-2.513832030E-1,3.120015800E-2,-1.553847858E0,1.574360229E0
1.634765000E-1,-3.189489493E-1,1.138844651E-1,-1.629198588E0,1.664027085E0
1.733995000E-1,-3.069019309E-1,1.022090372E-1,-1.592135426E0,1.624663257E0
1.833225000E-1,-1.983919340E-1,9.909656435E-2,-1.262844214E0,1.282168085E0
1.932455000E-1,1.898821887E-1,7.282122374E-3,-4.772105652E-1,5.136518261E-1
2.031685000E-1,7.580796687E-1,-2.355030423E-1,5.058145595E-1,9.412729868E-1
2.130915000E-1,1.166923273E0,-5.577258477E-1,1.014504780E0,1.643772488E0
2.230140000E-1,1.170013015E0,-7.383472162E-1,8.015620494E-1,1.598933640E0
2.329370000E-1,8.922536798E-1,-4.957614416E-1,2.102477485E-1,1.042161289E0
2.428600000E-1,5.498946717E-1,-1.377954841E-1,-5.697988862E-1,8.037677004E-1
2.527830000E-1,5.169244154E-1,1.018789619E-2,-1.065567929E0,1.184377328E0
2.627060000E-1,1.258757888E-1,-3.691557741E-1,-7.740123081E-1,8.667270348E-1
2.726290000E-1,-5.668752053E-1,-1.121355921E0,7.717447579E-2,1.258865561E0
2.825520000E-1,-6.170771331E-2,-1.964265679E0,1.194972074E-1,1.968864414E0
2.924750000E-1,5.369294943E-1,-1.359442556E0,-2.970941037E-1,1.491523466E0
3.023980000E-1,9.278360336E-1,-2.258484122E-1,-1.009960324E-1,9.602538253E-1
3.123210000E-1,1.777579286E0,2.378787661E-1,-4.978085518E-2,1.794116094E0
3.222439999E-1,3.470081000E0,-1.385322332E-1,2.073855364E-1,3.479031774E0
3.321669999E-1,4.370724995E0,-7.890311739E-1,3.499693054E-1,4.455141490E0
3.420899999E-1,3.628590830E0,-9.015491447E-1,2.135297906E-1,3.745004305E0
3.520129999E-1,2.607277260E0,-7.430615339E-1,2.848471105E-2,2.711244462E0
3.619359999E-1,1.647966396E0,-7.742356718E-1,-1.722098565E-1,1.828904139E0
3.718589999E-1,4.695083204E-1,-1.135071735E0,-2.366853493E-1,1.250937993E0
3.817820000E-1,3.811223933E-1,-1.180947527E0,5.476513875E-1,1.356397207E0
3.917050000E-1,1.031299737E0,-1.512197556E0,5.213722461E-1,1.903194582E0
4.016280000E-1,1.236225350E0,-2.344036196E0,5.779329479E-2,2.650678945E0
4.115510000E-1,5.857834196E-1,-2.898024796E0,3.895473540E-2,2.956891510E0
4.214740000E-1,5.421830714E-2,-2.989436365E0,2.898476493E-1,3.003944251E0
4.313970000E-1,-4.386142641E-1,-3.191581042E0,4.874250662E-1,3.258244192E0
4.413200000E-1,-6.010130775E-1,-3.449287424E0,5.556328368E-1,3.545070987E0
4.512430000E-1,-5.942542809E-1,-3.933261171E0,9.239746785E-1,4.083798574E0
4.611660000E-1,-1.093194854E0,-4.721970163E0,1.764761020E0,5.158144886E0
4.710890000E-1,-2.141708794E0,-5.101912004E0,2.427521279E0,6.042291139E0
4.810120000E-1,-2.961051056E0,-4.834705943E0,2.824982840E0,6.334250781E0
