"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.805541602E-3,-2.523120332E-1,-2.874783576E-3,-8.785330421E-1,9.140513839E-1
1.972854161E-2,-7.275406846E-1,3.113776821E-1,-1.337002112E0,1.553655739E0
2.965154161E-2,-4.852653971E-1,4.191570693E-1,-1.312080109E0,1.460386718E0
3.957454162E-2,-3.938614297E-1,3.298119065E-1,-1.067173575E0,1.184382606E0
4.949754162E-2,-4.739624369E-1,2.315848231E-1,-7.941056800E-1,9.533497537E-1
5.942054163E-2,-3.878136545E-1,3.324557251E-1,-5.234626257E-1,7.313954883E-1
6.934354163E-2,-5.163836941E-1,3.492778721E-1,-4.475593346E-1,7.674350197E-1
7.926654164E-2,-7.428630209E-1,2.110032088E-1,-4.399257946E-1,8.887646070E-1
8.918954164E-2,-8.402253011E-1,2.189051360E-1,-2.195056450E-1,8.955896065E-1
9.911254165E-2,-8.371853337E-1,3.557200420E-1,2.404451090E-1,9.408665589E-1
1.090355417E-1,-7.200553715E-1,5.063481179E-1,4.626521677E-1,9.944421465E-1
1.189585417E-1,-4.969038413E-1,6.128975433E-1,3.065689319E-1,8.464876468E-1
1.288815417E-1,-3.867632023E-1,2.397016355E-1,-6.369412941E-1,7.827751023E-1
1.388045417E-1,-5.451227590E-2,-3.923332599E-1,-1.519176793E0,1.569966593E0
1.487275417E-1,9.608466357E-2,1.059948170E-1,-1.232541019E0,1.240816073E0
1.586505416E-1,-4.311185722E-1,9.135455847E-2,-7.909914529E-1,9.054702410E-1
1.685735416E-1,-2.025579290E-1,5.493155050E-1,-3.482788754E-1,6.812308079E-1
1.784965416E-1,-1.620240068E-1,6.048997217E-1,5.887538052E-1,8.595269020E-1
1.884195416E-1,-6.233701989E-2,-1.805678666E-1,7.759623545E-1,7.991296729E-1
1.983425416E-1,1.426995438E0,-3.181180599E-1,1.553897560E-2,1.462106884E0
2.082655416E-1,1.411816359E0,-6.592928606E-1,-3.039464557E-1,1.587537702E0
2.181885416E-1,3.665642881E-1,-9.713014573E-1,-3.633582598E-1,1.099920508E0
2.281115416E-1,-2.783917844E-2,-7.362334478E-1,-1.912045366E-1,7.611661345E-1
2.380345416E-1,4.819892022E-1,-4.924992800E-1,-1.885095549E-1,7.144263322E-1
