,Unnamed: 0,Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),person,method
0,0,0.00338,-0.285,-0.387,-0.708,0.856,0,0
1,1,0.0134,-0.493,-0.195,-1.09,1.21,0,0
2,2,0.0234,-0.423,0.387,-0.65,0.867,0,0
3,3,0.0334,-0.174,0.857,-0.76,1.16,0,0
4,4,0.0435,0.357,1.36,-1.14,1.8,0,0
5,5,0.0535,2.04,1.23,-1.61,2.88,0,0
6,6,0.0635,4.18,0.446,-2.69,4.99,0,0
7,7,0.0735,4.95,-0.639,-2.74,5.7,0,0
8,8,0.0835,4.92,-1.76,-2.59,5.83,0,0
9,9,0.0935,4.28,-2.55,-1.63,5.24,0,0
10,10,0.104,3.76,-3.36,-1.17,5.17,0,0
11,11,0.114,2.79,-3.22,-1.37,4.47,0,0
12,12,0.124,2.74,-4.03,-1.69,5.16,0,0
13,13,0.134,3.45,-4.06,-1.55,5.55,0,0
14,14,0.144,4.44,-2.44,-1.14,5.19,0,0
15,15,0.154,4.94,-1.29,-2.57,5.72,0,0
16,16,0.164,5.06,-1.53,-3.23,6.19,0,0
17,17,0.174,4.53,-2.07,-2.24,5.46,0,0
18,18,0.184,2.62,-1.56,-0.656,3.12,0,0
19,19,0.194,0.152,-1.71,-2.53,3.05,0,0
20,20,0.204,-2.65,-0.491,-3.93,4.77,0,0
21,21,0.214,-5.43,1.24,-2.24,6.0,0,0
22,22,0.224,-6.18,3.21,1.5,7.12,0,0
23,23,0.234,-5.74,4.97,3.94,8.55,0,0
24,24,0.244,-5.48,5.67,5.64,9.69,0,0
25,25,0.254,-5.17,5.84,5.84,9.74,0,0
26,26,0.264,-5.12,4.71,4.85,8.47,0,0
27,27,0.274,-4.76,3.72,4.14,7.32,0,0
28,28,0.284,-3.82,2.92,4.14,6.35,0,0
29,29,0.294,-2.95,1.82,3.32,4.8,0,0
30,30,0.304,-3.14,0.5,2.98,4.35,0,0
31,31,0.314,-3.71,-0.921,2.66,4.66,0,0
32,32,0.324,-3.94,-2.72,2.31,5.32,0,0
33,33,0.334,-4.48,-3.28,1.67,5.8,0,0
34,34,0.344,-5.01,-3.08,0.735,5.93,0,0
35,35,0.354,-0.95,-2.73,-0.932,3.04,0,0
36,36,0.364,7.86,0.113,-2.77,8.33,0,0
37,37,0.374,11.8,7.04,-4.24,14.4,0,0
38,38,0.384,8.89,8.43,4.42,13.0,0,0
39,39,0.394,5.11,6.15,9.71,12.6,0,0
40,40,0.404,3.18,4.78,8.3,10.1,0,0
41,41,0.414,-0.847,0.0344,9.29,9.33,0,0
42,42,0.424,-2.37,-3.63,8.44,9.49,0,0
43,43,0.434,-2.07,-5.78,1.45,6.3,0,0
44,44,0.444,-2.81,-8.04,-8.08,11.7,0,0
